"id","room_id","user_id","team_id","recurring_schedule_id","reservation_type","title","person_count","start_time","end_time","is_cowork_open","created_at","updated_at"
"6315cbe5-7025-42df-b41f-da703792e983","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","personal","přijímačky","","2026-04-08 11:00:00+00","2026-04-08 16:00:00+00","false","2025-11-12 10:32:00+00","2025-11-12 10:32:00+00"
"bd43b848-1b3c-4124-90ed-4649703c11e7","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","personal","přijímačky","","2026-04-22 11:00:00+00","2026-04-22 16:00:00+00","false","2025-11-12 10:33:00+00","2025-11-12 10:33:00+00"
"52983432-5e3b-450a-b4ba-b1317dd4be7f","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","personal","přijímačky","","2026-04-15 11:00:00+00","2026-04-15 16:00:00+00","false","2025-11-12 10:33:00+00","2025-11-12 10:33:00+00"
"1ed58b8a-d335-48bd-a0d1-d8816ac3866f","b629f437-3546-4963-867c-e01be6f533ac","","","","personal","RTRNM meet","","2026-02-26 12:00:00+00","2026-02-26 15:00:00+00","false","2026-01-15 08:25:00+00","2026-01-15 08:25:00+00"
"224f7677-3d63-425a-814b-3531824cad3a","ab5e7ecb-56b2-44d3-9b75-bc718738df22","","","","training_session","TS - Timace - Posilování stresem","","2026-03-09 07:00:00+00","2026-03-09 11:00:00+00","false","2026-01-17 07:31:00+00","2026-01-17 07:31:00+00"
"d42f0d65-8bc0-47b2-a70b-86f1735afad3","7864e331-9fbe-46aa-974f-fb5f14928530","","","","personal","Meeting BASED","","2026-03-17 12:00:00+00","2026-03-17 14:00:00+00","false","2026-01-21 08:37:00+00","2026-01-21 08:37:00+00"
"04ca5ae5-046e-499c-8f68-66767e985433","7864e331-9fbe-46aa-974f-fb5f14928530","","","","personal","Meeting BASED","","2026-03-10 12:00:00+00","2026-03-10 14:00:00+00","false","2026-01-21 08:37:00+00","2026-01-21 08:37:00+00"
"9d137a8e-01cf-4bae-9947-f5b2258e9a9d","7864e331-9fbe-46aa-974f-fb5f14928530","","","","personal","Meeting BASED","","2026-03-03 12:00:00+00","2026-03-03 14:00:00+00","false","2026-01-21 08:37:00+00","2026-01-21 08:37:00+00"
"ee663fc5-d376-47b2-a54f-1a10090fd6f2","7864e331-9fbe-46aa-974f-fb5f14928530","","","","personal","Meeting BASED","","2026-03-31 11:00:00+00","2026-03-31 13:00:00+00","false","2026-01-21 08:38:00+00","2026-01-21 08:38:00+00"
"261510a3-9bd3-49c8-bb20-9956e0d005f2","7864e331-9fbe-46aa-974f-fb5f14928530","","","","personal","Meeting BASED","","2026-03-24 12:00:00+00","2026-03-24 14:00:00+00","false","2026-01-21 08:38:00+00","2026-01-21 08:38:00+00"
